Filename,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0001_V0573776F_collage.png,Dr. Edgar A. Mearns,E. A. Mearns,N/A,2832,"Jan. 16 to Feb. 2, 1910",1910-01-16,1910-02-02,Cyperus exaltatus Ridley,Cyperus maculatus,J. Raynal,19.10.1971,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp"", Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp"", Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status
0002_V0576008F_collage.png,F. G. Overlaet,F. G. Overlaet,N/A,84,1923-4,1923-04-00,N/A,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status
0003_V0576279F_collage.png,R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,14-VI-1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus,N/A,N/A,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,"Tinderet Forest Reserve, Camp I","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",N/A,Typed,no type status
0004_V0577013F_collage.png,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-86,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"ca 6 km NW of Ovene, chantier Rougier Océan","ca 6 kilometers northwest of Ovene, chantier Rougier Océan","Primary rain forest. Epiphytic orchid, growing in big clumps together. Flowers greenish-yellow. Leaves hard, succulent.",N/A,0 41 N x 11 07 E,N/A,Typed,no type status
0005_V0577892F_collage.png,Carvalho,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioko,N/A,Malabo,"Malabo, finca las Carboneras, 32NMK7415, 8 m","finca las Carboneras, 32NMK7415, 8 meters",Bosque secundario y terrenos incultos,8 m,N/A,N/A,Typed,no type status
0006_V0578553F_collage.png,Fernández Casas,Fernández Casas,N/A,11206,5-11-1989,1989-11-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioko,N/A,N/A,cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista,cumbre del pico Basilé márgenes de la pista,N/A,2870 m,32NMJ7396,N/A,Typed,no type status
0007_V0574052F_collage.png,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus,N/A,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status
0008_V0577681F_collage.png,C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,"c. 3 km from Metahara, on road to Nazareth","approximately 3 kilometers from Metahara, on road to Nazareth",In full sun on lava rock,c. 925m,c. 8°56' N 39°55' E,N/A,Typed,no type status
0009_V0597557F_collage.png,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Cirsium lepidacanthum Fres,Cirsium lepidacanthum,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,Musisi Territoire: Kabare,Musisi,N/A,N/A,N/A,2257689,Typed,no type status
0010_V0594376F_collage.png,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,"Park Manovo-Gounda-St. Floris, Vicinity of Camp Koumbala",N/A,elev. 600 m,08°29'N 21°12'E,"Q67B/0065, Q67B/0066, Q67B/0067, Q67B/0068",Typed,no type status
