accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,V0573776F,Dr. Edgar A. Mearns,E. A. Mearns,N/A,2832,Jan. 10 to Feb. 1910,1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus Bock.,J. Raynal,19.10.1971,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp,"" Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,468360,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,V0576008F,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,Börge Pettersson,1984,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,Belgian Congo,[precise locality unknown],N/A,N/A,N/A,N/A,752356,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,V0576279F,R. A. Maas Gesteranus,R. A. Maas Gesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus C.B.Cl.,N/A,N/A,Dombeya mastersii and Olea hochstetteri,Kenya,Nyanza,N/A,N/A,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I","Londiani District, Tinderet Forest Reserve, Camp I","Glade surrounded by open, tall forest",N/A,2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-36,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"Ca. 6 km NW of Oveng, chantier Rougier Océan ","Ca. 6 kilometers northwest of Oveng, chantier Rougier Océan",Primary rain forest,N/A,N/A,0 41 N x 11 07 E,2310219,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,V0577892F,Carvalho,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & Ma A. Rivas Ponce,1995,N/A,Equatorial Guinea,N/A,N/A,Malabo,"Bioco: Malabo, finca las Carboneras","Bioco: Malabo, finca las Carboneras",Bosque secundario y terrenos incultos,N/A,8 m,32NMK7415,220108,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,V0578553F,Fernandez Casas,Fernandez Casas,N/A,11206,5-II-1989,1989-02-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,N/A,N/A,N/A,Equatorial Guinea,N/A,N/A,N/A,Bioco: cumbre del pico Basilé,Bioco: cumbre del pico Basilé,Márgenes de la pista,N/A,2870 m,32NMJ7396,2200806,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,V0574052F,F. G. Overlaet,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus mucronatus L.,A. A. Beetle,1944,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,Belgian Congo,[precise locality unknown],N/A,N/A,N/A,N/A,752378,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,V0577681F,C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica Sch.Bip.,G.J.H. Amshoff,1982,N/A,Ethiopia,N/A,N/A,N/A,"Shewa, c. 3 km from Metahara, on road to Nazareth ","Shewa, ca. 3 kilometers from Metahara, on road to Nazareth",N/A,rock,925m,c. 08° 56' N 39° 55' E,2302805,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,V0597557F,P-Beatra,P-Beatra,N/A,48,05.08.2003,2003-08-05,N/A,Cardus leptacanthus Fres,Cardus leptacanthus Fres,N/A,N/A,N/A,"Congo, the Democratic Republic of the",Sud-Kivu,N/A,N/A,"Parc National de Kahuzi-Biega, Kabare, Musisi","Parc National de Kahuzi-Biega, Kabare, Musisi",N/A,N/A,N/A,N/A,2257689,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,V0594376F,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J.M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala,Park Manovo-Gounda-Saint Floris. Vicinity of Camp Koumbala,N/A,N/A,600 m,08°29'N 21°12'E,1999188,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg,V0597275F,P.C.M. Jansen,P. C. M. Jansen,N/A,5996,14 April 1976,1976-04-14,N/A,Circium vulgare (Savi) Ten.,Circium vulgare (Savi) Ten.,C.H.H. Jongkind,1987,N/A,Ethiopia,N/A,N/A,N/A,"Harege, around Damata Village, near Alemaya ","Harege, around Damata Village, near Alemaya ",Between chat and Sorgum fields,N/A,2000m,c. 9°24' N 42°01' E,2302849,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2454/013/V0597626F.jpg,V0597626F,"Amanda Koch, Wilson Sakuda",A. Koch,W. Sakuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens misera (Vatke) Brenan,Patrick Mutiso,"November 02, 2003",N/A,Kenya,N/A,N/A,N/A,Kajiado District:Oloishobor,Kajiado District:Oloishobor,Dry bushland,N/A,N/A,N/A,2309478,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2454/080/V0597688F.jpg,V0597688F,J. Lebrun,J. Lebrun,N/A,2409,Mart 1931,1931-03-00,N/A,Albizia gummifera (Gmel.) C. A. Smith,Albizia gummifera (Gmel.) C. A. Smith,N/A,N/A,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,Congo Belge. Lebo. (Uélé-Itimbiri),Lebo (Uélé-Itimbiri),N/A,N/A,N/A,N/A,867368,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg,V0588237F,Verdcourt,Verdcourt,N/A,2077,25.12.1957,1957-12-25,N/A,Digitaria pennata (Hoscht.) Chiov.,Digitaria pennata (Hoscht.) Chiov.,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Tsavo-Mtito Andei,Tsavo-Mtito Andei,N/A,N/A,N/A,N/A,1559644,Handwritten,no type status
https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg,V0580026F,H. Callens,H. Callens,N/A,s.n.,Juillet 1958,1958-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,"Congo, the Democratic Republic of the",N/A,N/A,Kisantu,Kisantu,[precise locality unknown],Foret secondaire,N/A,N/A,N/A,1584065,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg,V0580516F,G. Troupin,G. Troupin,N/A,6333,I0/2/I958,1958-02-10,N/A,Mikania cordata (Burm.f.) B.L.Robins,Mikania cordata (Burm.f.) B.L.Robins,N/A,N/A,N/A,"Congo, the Democratic Republic of the",N/A,N/A,N/A,"Kivu, Kalehe, vers km 110,route Kavumu-Walikale;Irangi,réserve IRSAC","Kivu, Kalehe, vers Kilometer 110, Kavumu-Walikale route, Irangi, IRSAC Réserve",Forêt ombrophile,N/A,I.540 m,N/A,1543353,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg,V0574490F,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-06,N/A,Corynanthe mayumbensis (R. Good) N. Halle,Corynanthe mayumbensis (R. Good) N. Halle,Wilks & McPherson,1989,N/A,Gabon,Ogooue-Ivindo,N/A,N/A,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA","Réserve de la Lopé, au sud d'Ayem, chantier Soforga",N/A,N/A,c. 200 m,0°25'S 11°30'E,2040859,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg,V0574226F,J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia,Millettia zechiana Harms,Ake Assi,1988,"Guibourtia demeusei, Berlinia sp., Bombax sp.",Cameroon,N/A,N/A,N/A,On the Sangha River across from Ndakan gorilla study area,On the Sangha River across from Ndakan gorilla study area,Seasonally flooded forest,N/A,385 m,02°20'N 16°08'E,2041244,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg,V0580728F,F.A.Melville,F. A. Melville,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Equatorial Guinea,N/A,N/A,N/A,"Annobon, South West of Crater Lake","Annobon, southwest of Crater Lake","Clearing in wood, scrambling over herbage",N/A,"1,500ft.",N/A,1624518,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg,V0578764F,"R. L. Piemeisel, L. W. Kephart",R. L. Piemeisel,L. W. Kephart,2,"June 28, 1927",1927-06-27,N/A,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Muthaiga, near Nairobi","Muthaiga, near Nairobi",N/A,N/A,"1,700 meters",N/A,2074762,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg,V0594158F,A. Léonard,A. Léonard,N/A,3149,I9/2 I959,1959-02-19,N/A,Oxyanthus speciosus DC. subsp. indet.,Oxyanthus speciosus DC. subsp. indet.,B.Sonké,1989,N/A,"Congo, the Democratic Republic of the",N/A,N/A,Masisi,Masisi,[precise locality unknown],Vieille forêt secondaire,N/A,I900m,N/A,2086095,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg,V0573054F,R. P. Klaine,R. P. Klaine,N/A,3200,21-1-03,1903-01-21,N/A,Klaineanthus gabonii Pierre,Klaineanthus gabonii Pierre,N/A,N/A,N/A,Gabon,N/A,N/A,N/A,Environs de Libreville,Environs de Libreville,N/A,N/A,N/A,N/A,781173,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg,V0601010F,James T. Allen,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,"Larteh, Center for Scientific Research into Plant Medicine (CSRPM) farm",N/A,N/A,N/A,N/A,2200652,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg,V0602418F,J.E.Andoh,J. E. Andoh,N/A,5632,March 1952.,1952-03-00,N/A,Chyrsophyllum perpulchrum Mildbr.,Chyrsophyllum perpulchrum Mildbr.,N/A,N/A,N/A,Ghana,Ashanti,N/A,N/A,Kumasi District. Kumasi Township Forest Reserve,"Kumasi District, Kumasi Township Forest Reserve",N/A,N/A,N/A,N/A,1601919,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg,V0604513F,J. Nemba & D.W. Thomas,J. Nemba,D. W. Thomas,520,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Along Kumba-Mamfe road at mile 14 Lkiliwindi,Along Kumba-Mamfe road at Mile 14 Lkiliwindi,Secondary growth and old growth forest,N/A,200 m,04°44'N 09°29'E,2041320,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg,V0572217F,J.Deaw,J. Deaw,N/A,Sp 283,4/10/1971,1971-10-04,N/A,Eugenia coronata,Eugenia coronata,A.A.Enti,1971,N/A,Ghana,N/A,N/A,Accra,Accra,[precise locality unknown],N/A,N/A,N/A,N/A,1753421,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg,V0602609F,G. Schweinfurth et D. Riva,G. Schweinfurth,D. Riva,1814,1 mai 1892,1892-05-01,N/A,Rumex nervosus V.,Rumex nervosus V.,N/A,N/A,N/A,Eritrea,N/A,N/A,Segheneyti,"Saganeiti, pente du Nord au- dessous d'Addi-Abboour",Pente du Nord au- dessous d'Addi-Abboour,N/A,N/A,2300/2100 m,N/A,71283,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg,V0606178F,R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/711,7 March 1977,1977-03-07,N/A,Toddaliopsis sansibarensis (Engl.) Engl.,Toddaliopsis sansibarensis (Engl.) Engl.,J.O. Kokwaro,N/A,Combretum schumannii,Kenya,N/A,N/A,N/A,"K7, Kwale District, Chale Peninsula","K7, Kwale District, Chale Peninsula",Coral rag dry forest,N/A,0-5 m,"ca. 4°26'S, 39°32'30""E",21535,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg,V0603038F,F. Szafranski,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,N/A,N/A,N/A,"Congo, the Democratic Republic of the",Haut-Uele,N/A,Isiro,"Haaut-Zaïre, S-Rég.Haut-Uele, Isiro, prés de la route aux environs de l'usine SOCODIA","Haaut-Zaïre, Isiro, prés de la route aux environs de l'usine Socodia",Bas fond marécageux,N/A,N/A,N/A,2084694,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg,V0606676F,F.W.H.Migeod,F. W. H. Migeod,N/A,394,26. 1. 1928,1928-01-26,N/A,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec 3, 1977",N/A,Cameroon,N/A,N/A,Bamenda,"Africa. Bamenda, British Cameroons",[precise locality unknown],N/A,N/A,"5,500 ft.",N/A,1441275,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg,V0601406F,T.C.Wrigley and F.A.Melville,T. C. Wrigley,F. A. Melville,52,18 July 1959.,1959-07-18,N/A,N/A,Cassipourea annobonensis Midbr. ex Alston.,A.W.Exell,1961,N/A,Equatorial Guinea,N/A,N/A,N/A,Annobon: Ridge west of Crater Lake,Annobon: Ridge west of Crater Lake,Open woodland,N/A,1200ft.,N/A,1624568,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg,V0604673F,William Burger,W. Burger,N/A,1767,27 May 1962,1962-05-27,N/A,Rubus apetalus Poir,Rubus apetalus Poir,WB,N/A,N/A,Ethiopia,Harar,N/A,N/A,"Near G. Ades, ±18 Km. E. of Hirna on new hwy","Near Gara Ades, ± 18 kilometers east of Hirna on new highway",Steep slopes with remnants of Podocarpus and juniperous forest,N/A,8200 feet,09°17'N x 41°13'E,1825230,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg,V0565514F,J.D. Sauer,J. D. Sauer,N/A,3914,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss.,Aerva lanata (L.) Juss.,N/A,N/A,N/A,Kenya,Coast,N/A,N/A,"Bumburri Beach, N of Mombasa. Kwale District, near Mombasa","Bumburri Beach, north of Mombasa. Kwale District, near Mombasa","Beach ridge, shallow open coast",N/A,N/A,N/A,1595870,Mix of Handwritten and Typed,no type status
