Entry,Images,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 1,"0001_V0573776F.jpg, 0001_V0573776F_collage.png",Dr. Edgar A. Mearns,E. A. Mearns,N/A,2532,"Jan. 10 to Feb. 2, 1910",1910-01-10,1910-02-02,Cyperus caldwellii Ridley,Cyperus maculatus,J. Koyap,19.10.1971,N/A,South Sudan,Bahr el Jebel,Lado Enclave,N/A,"""Rhino Camp""",Rhino Camp,N/A,N/A,N/A,468360,Mix of Handwritten and Typed,no type status
Entry 2,"0002_V0576008F.jpg, 0002_V0576008F_collage.png",COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-04-00,N/A,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752356,Typed,no type status
Entry 3,"0003_V0576279F.jpg, 0003_V0576279F_collage.png",R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,14-VI-1949,1949-06-14,N/A,Pycreus segmentatus C.B.C.L.,Pycreus segmentatus,unsure and check,N/A,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,Tinderet Forest Reserve Camp I,Tinderet Forest Reserve Camp I,glade surrounded by rather open tall forest,2260 m s.m.,lat. 0° 5' S long. 35° 27' E,1417352,Mix of Handwritten and Typed,no type status
Entry 4,"0004_V0577013F.jpg, 0004_V0577013F_collage.png",Récolteurs: J. M. et C. B. Reitsma,J. M. Reitsma,C. B. Reitsma,2013,3-3-85,1985-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,ca 6 km NW of Ovan chantier Rougier Océan,6 kilometers northwest of Ovan chantier Rougier Océan,Primary rain forest,N/A,0 41 N x 11 07 E,2310219,Typed,no type status
Entry 5,"0005_V0577892F.jpg, 0005_V0577892F_collage.png",Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioco,N/A,Malabo,finca las Carboneras 32NMK7415 8 m,finca las Carboneras,Bosque secundario y terrenos incultos Herbacea 20-30 cm,8 m,N/A,2201108,Typed,no type status
Entry 6,"0006_V0578553F.jpg, 0006_V0578553F_collage.png",Fernández Casas 11206,N. Fernández,N/A,11206,5-11-1989,1989-11-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioco,N/A,N/A,cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista,Cumbre del pico Basilé,márgenes de la pista,2870 m,32NMJ7396,2200806,Typed,no type status
Entry 7,"0007_V0574052F.jpg, 0007_V0574052F_collage.png",COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus mucronatus,A. Peter,1960,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Typed,no type status
Entry 8,"0008_V0577681F.jpg, 0008_V0577681F_collage.png",Collected by C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,3 km from Metahara on road to Nazareth,3 kilometers from Metahara on road to Nazareth,In full sun on lava rock,Alt: 925m,c. 8°56'N 39°55'E,2302805,Typed,no type status
Entry 9,"0009_V0597557F.jpg, 0009_V0597557F_collage.png",Nom du récolteur,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus Fres,Carduus leptacanthus,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,Kabare,Musisi,Musisi,Musisi,N/A,N/A,N/A,2257689,Mix of Handwritten and Typed,no type status
Entry 10,"0010_V0594376F.jpg, 0010_V0594376F_collage.png",J.M. Fay 8017,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,Manovo-Gounda-St. Floris,N/A,N/A,Vicinity of Camp Koumbala,Vicinity of Camp Koumbala,N/A,elev. 600 m,08°29'N 21°12'E,NCI# Wood Q67B/0065 Bark Q67B/0066 Root Q67B/0067 Leaves Q67B/0068,Typed,no type status
