Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 1,0001_V0573776F_collage.png,Dr. Edgar A. Mearns,E. A. Mearns,N/A,2532,"Jan. 10 to Feb. 2, 1910",1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus,J. Raynal,19.10.1971,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,"""Rhino Camp"" Bahr el Jebel Lado Enclave Congo Free State",[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 2,0002_V0576008F_collage.png,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,1923-4,s.d.,0000-00-00,N/A,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 3,0003_V0576279F_collage.png,Leg. R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,14-VI-1949,1949-06-14,N/A,Pycreus segmentatus C. B. Cl.,Pycreus segmentatus,N/A,N/A,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,"Tinderet Forest Reserve, Camp I","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",N/A,Typed,no type status,,
Entry 4,0004_V0577013F_collage.png,Récolteurs: J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-85,1985-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"ca 6 km NW of Ovan, chantier Rougier Océan",[precise locality unknown],Primary rain forest,N/A,0 41 N x 11 07 E,N/A,Typed,no type status,,
Entry 5,0005_V0577892F_collage.png,Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioco,N/A,Malabo,finca las Carboneras 32NMK7415 8 m,finca las Carboneras,Bosque secundario y terrenos incultos Herbácea 20-30 cm,8 m,32NMK7415,N/A,Typed,no type status,,
Entry 6,0006_V0578553F_collage.png,Fernández Casas 11206,N/A,N/A,11206,5-11-1989,1989-11-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,N/A,N/A,N/A,Bioco: cumbre del pico Basilé 32NMJ7396 2870 m márgenes de la pista,Cumbre del pico Basilé,Márgenes de la pista,2870 m,32NMJ7396,N/A,Typed,no type status,,
Entry 7,0007_V0574052F_collage.png,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-04-00,1923-04-00,Scirpus,Scirpus,N/A,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 8,0008_V0577681F_collage.png,Collected by C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,"c. 3 km from Metahara, on road to Nazareth","3 kilometers from Metahara, on road to Nazareth",In full sun on lava rock,Alt: 925m,c. 8°56'N 39°55'E,N/A,Typed,no type status,,
Entry 9,0009_V0597557F_collage.png,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus Fres.,Carduus leptacanthus,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,Kabare,Musisi,Musisi,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 10,0010_V0594376F_collage.png,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,N/A,elev. 600 m,08°29'N 21°12'E,"NCI# Wood Q67B/0065, Bark Q67B/0066, Root Q67B/0057, Leaves Q67B/0068",Typed,no type status,,
Entry 11,0011_V0597275F_collage.png,P.C.M. Jansen,P. C. M. Jansen,N/A,5996,14 April 1976,1976-04-14,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,C. C. H. Jongkind,1987,N/A,Ethiopia,Harerge,N/A,N/A,around Damata Village near Alemaya Between chat and Sorghum fields,around Damata Village near Alemaya,Between chat and Sorghum fields,2000m,c. 9°24' N 42°01' E,N/A,Typed,no type status,,
Entry 12,0012_V0597626F_collage.png,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",A. Koch,W. Sakuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens,P. Mutiso,"November 02, 2003",N/A,Kenya,Kajiado,N/A,Oloishobor,Oloishobor,[precise locality unknown],Dry bushland,N/A,N/A,N/A,Typed,no type status,,
Entry 13,0013_V0597688F_collage.png,J. Lebrun,J. Lebrun,N/A,2409,Mars 1931,1931-03-00,N/A,Albizzia gummifera (J. M. G.),Albizzia gummifera,C. A. Smith,N/A,N/A,Democratic Republic of the Congo,Lualaba,N/A,N/A,Lolo (Uele: Kimbi),Lolo,N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 14,0014_V0588237F_collage.png,N/A,N/A,N/A,2077,25. 12. 1957,1957-12-25,N/A,Digitaria pennata (Hochst.) Chiov.,Digitaria pennata,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Tsavo - Kituo Andei,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 15,0015_V0580026F_collage.png,N/A,N/A,N/A,s.n.,Juillet 1958,1958-07-00,N/A,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,N/A,Democratic Republic of the Congo,N/A,N/A,Kisantu,Kisantu,[precise locality unknown],foret secondaire,± 5 m,N/A,172587,Typed,no type status,,
Entry 16,0016_V0580516F_collage.png,N/A,N/A,N/A,6933,10/2/1958,1958-02-10,N/A,Millettia cordifolia (Benth. f.) J. Leonard,Millettia cordifolia,N/A,N/A,N/A,Democratic Republic of the Congo,Kivu,Kelehe,N/A,"Vers le 110 route Kavumu-Walikale, pres reserve Tshegera","Near the 110 route Kavumu-Walikale, near reserve Tshegera",Forêt ombrophile,Alt. 850 - 900 m,N/A,N/A,Typed,no type status,,
Entry 17,0017_V0574490F_collage.png,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis,Wilks | McPherson,1989,N/A,Gabon,Ogooue-Ivindo,N/A,N/A,Réserve de la Lopé au sud d'Ayem chantier SOFORGA,Réserve de la Lopé au sud d'Ayem chantier SOFORGA,Arbre 15 m fruit brun,c. 200 m,0°25'S 11°30'E,LF:Q665-0223-G BK:Q665-0224-H WD:Q665-0225-I,Typed,no type status,,
Entry 18,0018_V0574226F_collage.png,J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia,A. Assi,1988,Guibourtia demeusei | Berlinia sp. | Bombax sp.,Cameroon,N/A,N/A,N/A,On the Sancha River across from Ndakan gorilla study area,On the Sancha River across from Ndakan gorilla study area,In seasonally flooded forest,385 m,02°20'N 16°08'E,Leaves 067E/0545-C | Wood 067E/0546-H | Bark 067E/0547-J | Root 067E/0548-I,Typed,no type status,,
Entry 19,0019_V0580728F_collage.png,Coll. F. A. Melville,F. A. Melville,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus,N/A,N/A,N/A,Equatorial Guinea,Annobón,N/A,N/A,South west of Crater Lake,South west of Crater Lake,Clearing in wood scrambling over herbage,"Alt. 1,500 ft.",N/A,N/A,Typed,no type status,,
Entry 20,0020_V0578764F_collage.png,R. L. Piemeisel | L. W. Kephart,R. L. Piemeisel,L. W. Kephart,2,"June 28-30, 1927",1927-06-28,1927-06-30,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Muthaiga, near Nairobi","Muthaiga, near Nairobi",N/A,"alt. 1,700 meters",N/A,N/A,Typed,no type status,,
Entry 21,0021_V0594158F_collage.png,A. Léonard,A. Léonard,N/A,1149,19/2 1959,1959-02-19,N/A,Oxymitra speciosa DC. subsp. indet.,Oxymitra speciosa,B. Sonké,1989,N/A,Democratic Republic of the Congo,N/A,N/A,Masisi,Masisi,[precise locality unknown],Vieille forêt secondaire,1900m,N/A,N/A,Typed,no type status,,
Entry 22,0022_V0573054F_collage.png,récolté par le R. P. Klaine,R. P. Klaine,N/A,3200,N/A,0000-00-00,N/A,Klaineanthus,Klaineanthus,N/A,N/A,N/A,Gabon,N/A,N/A,Libreville,Herbier des environs de Libreville Gabon,[precise locality unknown],N/A,N/A,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 23,0023_V0601010F_collage.png,James T. Allen,J. T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia,N/A,N/A,N/A,Ghana,Volta Region,N/A,N/A,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,Larteh; Center for Scientific Research into Plant Medicine farm,Anti-asthmatic; treating coughs and colds; antipyretic; for dysentery. Applied topically-arthritis.,N/A,N/A,N/A,Typed,no type status,,
Entry 24,0024_V0602418F_collage.png,J. E. Andoh,J. E. Andoh,N/A,5632,March 1952,1952-03-00,N/A,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum,N/A,N/A,N/A,Ghana,Ashanti,Kumasi,N/A,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,Medium sized tree 30 feet high and 2 feet girth. Planted in 1933,N/A,N/A,N/A,Typed,no type status,,
Entry 25,0025_V0604513F_collage.png,J. Nemba & D.W. Thomas,J. Nemba,D. W. Thomas,520,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii,D. W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 Lkilwindi,Kumba-Mamfe road at mile 14 Lkilwindi,Secondary growth and old growth forest,200 m,04°44'N 09°29'E,Q66/0052-L,Typed,no type status,,
Entry 26,0026_V0572217F_collage.png,J. Deaw,J. Deaw,N/A,Sp 283,4 10 71,1971-10-04,N/A,Eugenia coronata,Eugenia coronata,A. A. Enti,71,N/A,Ghana,N/A,N/A,Accra,Accra,[precise locality unknown],A shrub about 6 feet high Flowering pedicels fascicled Fruit ellipsoid calyx persistent at the apex,N/A,N/A,N/A,Typed,no type status,,
