Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0000_V0573776F,Dr. Edgar A. Mearns,E. A. Mearns,E. A. Mearns,2532,Jan. 10 to Feb. 2 1910,1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus callistus,J. Raynal,19.10.1971,N/A,Democratic Republic of the Congo,Haut-Uele,N/A,N/A,"""Rhino Camp"" Bahr el Jebel Lado Enclave Congo Free State","""Rhino Camp"" Bahr el Jebel Lado Enclave",N/A,N/A,N/A,468360,Mix of Handwritten and Typed,N/A
0001_V0576008F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,10234,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752856,Mix of Handwritten and Typed,N/A
0002_V0576279F,Leg. R. A. Maas Geesteranus no 4924 d.d. 14-VI 1949,R. A. Maas Geesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C. B. C. Cl.,Pycreus segmentatus,N/A,N/A,Dombeya masterii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,Tinderet Forest Reserve Camp I,Tinderet Forest Reserve Camp I,Glade surrounded by rather open tall forest containing a.o. Dombeya masterii and Olea hochstetteri,2260 m s.m.,lat. 0° 5' S long. 35° 27' E,1447352,Typed,no type status
0003_V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-86,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovsky,2011,N/A,Gabon,Ogooué-Ivindo,N/A,N/A,Primary rain forest ca 6 km NW of Ovan chantier Rougier Océan,Primary rain forest approximately 6 kilometers northwest of Ovan chantier Rougier Océan,Epiphytic orchid growing in big clumps together Flowers greenish-yellow Leaves hard succulent,N/A,0°41' N x 11° 07' E,N/A,Typed,N/A
0004_V0577892F,Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioco,N/A,Malabo,finca las Carboneras 32NMK7415 8 m,finca las Carboneras,Bosque secundario y terrenos incultos,8 m,32NMK7415,2201108,Typed,no type status
0005_V0578553F,Fernández Casas,Fernández Casas,N/A,11206,5-11-1989,1989-11-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis mannii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioco,N/A,N/A,cumbre del pico Basile 32NMJ7396 márgenes de la pista,cumbre del pico Basile márgenes de la pista,N/A,2870 m,32NMJ7396,N/A,Typed,N/A
0006_V0574052F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,1923-4,N/A,0000-00-00,N/A,Scirpus,Scirpus,N/A,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Mix of Handwritten and Typed,no type status
0007_V0577681F,C J P Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,1972-10-23,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,c. 3 km from Metahara on road to Nazareth In full sun on lava rock,approximately 3 kilometers from Metahara on road to Nazareth In full sun on lava rock,Erect herb about 90 cm high and 30 cm wide Stem pale brown near the top brownish-green Leaves medium green beneath paler with pale midrib Involucre pale green with dark green tops Florets at opening dark purple older almost white Anthers pale brown Pollen white Fruits brownish-black with yellowish white pappus,925 m,c. 8°56' N 39°55' E,2302805,Typed,no type status
0008_V0597557F,N/A,N/A,N/A,48,05-08-2003,2003-08-05,N/A,Carduus leptacanthus Fres,Carduus leptacanthus,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,N/A,N/A,Musisi Territoire: Kabare,Musisi,N/A,N/A,N/A,2257689,Mix of Handwritten and Typed,no type status
0009_V0594376F,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,Ouham,N/A,N/A,Park Manovo-Gounda-St. Floris Vicinity of Camp Koumbala,Park Manovo-Gounda-St. Floris Vicinity of Camp Koumbala,N/A,elev. 600 m,08°29'N 21°12'E,Q67B/0065 | Q67B/0066 | Q67B/0067 | Q67B/0068,Typed,no type status
