Image,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0001_V0573776F,V0573776F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,N/A,2832,"Jan. 10 to Feb. 2, 1910",1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus,J. Raynal,19.10.1971,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp,"" Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,468360,Mix of Handwritten and Typed,N/A
0002_V0576008F,V0576008F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752356,Mix of Handwritten and Typed,no type status
0003_V0576279F,V0576279F,Leg. R. A. Maas Geesteranus no 4924 d.d. 14-VI 1949,R. A. Maas Geesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus,N/A,N/A,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,"Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Mix of Handwritten and Typed,no type status
0004_V0577013F,V0577013F,J. M. et B. Reitsma,J. Reitsma,B. Reitsma,2013,dd. 3-3-85,1985-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum,O. Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"ca 6 km NW of Oyem, chantier Rougier Océan",[precise locality unknown],Primary rain forest,N/A,0 41 N x 11 07 E,2310219,Mix of Handwritten and Typed,N/A
0005_V0577892F,V0577892F,Carvalho 2102,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioko,N/A,Malabo,"finca las Carboneras, 32NMK7415",Finca las Carboneras,Bosque secundario y terrenos incultos,8 m,32NMK7415,2201108,Mix of Handwritten and Typed,N/A
0006_V0578553F,V0578553F,Fernández Casas 11206,Fernández Casas,N/A,11206,5-II-1989,1989-02-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioko Norte,N/A,N/A,"BIOCO: cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista",Cumbre del Pico Basilé,Márgenes de la pista,2870 m,32NMJ7396,2200806,Mix of Handwritten and Typed,N/A
0007_V0574052F,V0574052F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-04-00,N/A,Scirpus mucronatus L.,Scirpus mucronatus,A. Reith | C. Reith,1960,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Mix of Handwritten and Typed,N/A
0008_V0577681F,V0577681F,Collected by: C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,d.d.: 23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch. Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,N/A,"c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock.","c. 3 kilometers from Metahara, on road to Nazareth",In full sun on lava rock,Alt: 925m,"c. 8°56' N, 39°55' E",2302805,Mix of Handwritten and Typed,N/A
0009_V0597557F,V0597557F,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus FRES,Carduus leptacanthus,N/A,N/A,N/A,N/A,Sud-Kivu,Kabare,N/A,Musisi,Musisi,N/A,N/A,N/A,2257689,Mix of Handwritten and Typed,no type status
0010_V0594376F,V0594376F,J.M. Fay 8017,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,N/A,elev: 600 m,08°29'N 21°12'E,No. 1999188,Mix of Handwritten and Typed,N/A
