accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,V0573776F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,N/A,2852,"Jan. 10 to Feb. 3, 1910",1910-01-10,1910-02-03,Cyperus callistus Ridley,Cyperus callistus Ridley,J. Raynal,19.10.1971,N/A,Congo Free State,Lado Enclave,Bahr el Jebel,N/A,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp""",N/A,N/A,N/A,168360,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,V0576008F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,1923-4,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,BÖRGE PETTERSSON,1984,N/A,BELGIAN CONGO,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752356,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,V0576279F,R.A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus C.B.Cl.,N/A,N/A,Dombeya mastersii and Olea hochstetteri,Kenya,Nyanza,Londiani,N/A,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-36,1936-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Olga Kosovsky,2011,N/A,Gabon,N/A,N/A,N/A,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan. 0 41 N x 11 07 E","Primary rain forest, ca 6 kilometers NW of Oveng, chantier Rougier Océan","Epiphytic orchid, growing in big clups together. Flowers greenish-yellow. Leaves hard, succulent",N/A,0 41 N x 11 07 E,2310219,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,V0577892F,Carvalho,Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & M. A. Rivas Ponce,1995,N/A,GUINEÆ ÆQUATORIALIS,BIOCO,N/A,Malabo,"«Malabo», finca las Carboneras, 32NMK7415, 8 m. Bosque secundario y terrenos incultos","«Malabo», finca las Carboneras, 8 meters. Bosque secundario y terrenos incultos","Bosque secundario y terrenos incultos. Herbácea, 20-30 cm",8 m,32NMK7415,2201108,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,V0578553F,Fernández Casas 11206,Fernández Casas,N/A,11206,5-II-1989,1989-02-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,C. Cebolla & Mª A. Rivas Ponce,1993,N/A,BIOCO,N/A,N/A,N/A,"cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista","cumbre del pico Basilé, márgenes de la pista",márgenes de la pista,2870 m,32NMJ7396,№ 2200806,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,V0574052F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,1923-4,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus,N/A,N/A,N/A,Belgian Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,V0577681F,C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica Sch.Bip.,G. J. H. Amshoff,1982,N/A,ETHIOPIA,SHEWA,N/A,N/A,"c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock. c. 8°56' N, 39°55' E Alt: 925m","c. 3 kilometers from Metahara, on road to Nazareth. In full sun on lava rock","Erect herb, about 90 cm high and 30 cm wide. Stem pale brown, near the top brownish-green. Leaves medium green, beneath paler with pale midrib. Involucre pale green with dark green tops. Florets at opening dark purple, older paler to almost white. Anthers pale brown. Pollen white. Fruits brownish-black with yellowish white pappus",925m,"c. 8°56' N, 39°55' E",2302805,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,V0597557F,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus FRES,Carduus leptacanthus FRES,N/A,N/A,N/A,N/A,Sud-Kivu,Kabare,N/A,Musisi,Musisi,Herbe,N/A,N/A,2257689,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,V0594376F,J.M. Fay 8017,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana Hook.,J. M. Fay,N/A,N/A,CENTRAL AFRICAN REPUBLIC,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm 08°29'N 21°12'E elev: 600 m,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,N/A,elev: 600 m,08°29'N 21°12'E,"No. 1999188|NCI# Wood Q67B/0065, Bark Q67B/0066, Root Q67B/0067, Leaves Q67B/0068",Typed,no type status
