accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,V0573776F,Dr. Edgar A. Mearns,E. A. Mearns,,2852,"Jan. 19-Feb. 8, 1910",1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus Böck.,J. Raynal,19.10.1971,,Congo Free State,,,,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp,"" Bahr el Jebel, Lado Enclave",,,,468360,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,V0576008F,COLL. F. G. OVERLAET,F. G. Overlaet,,s.n.,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,B Pettersson,1984,,Democratic Republic of the Congo,,,,PASS,[precise locality unknown],,,,752356,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,V0576279F,R. A. Maas Geesteranus,R. A. Maas Geesteranus,,4924,14-VI 1949,1949-06-14,,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus C.B.Cl.,,,Dombeya mastersii and Olea hochstetteri,Kenya,Nyanza,Londiani,,"Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447052.0,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-86,1986-03-03,,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,O. Kosovsky,2011,,Gabon,,,,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan. 0 41 N x 11 07 E","Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan",Primary rain forest,,0 41 N x 11 07 E,2310219,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,V0577892F,Carvalho 2102,Carvalho,,2102,26-VII-1986,1986-07-26,,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C Cebolla & M A Rivas Ponce,1995,,Equatorial Guinea,BIOCO,,Malabo,"«Malabo», finca las Carboneras, 32NMK7415, 8 m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm","Malabo, finca las Carboneras. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm",Bosque secundario y terrenos incultos,8 m,32NMK7415,2201108.0,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,V0578553F,Fernández Casas,Fernández Casas,,11206,5-II-1989,1989-02-05,,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,C. Cebolla & M A. Rivas Ponce,1993,,Equatorial Guinea,,,,"cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista","cumbre del pico Basilé, 32NMJ7396, 2870 meters, márgenes de la pista",Márgenes de la pista,2870 m,32NMJ7396,2200806,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,V0574052F,COLL. F. G. OVERLAET,F. G. Overlaet,,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus quartziticus,A A Beetle,1946,,Belgian Congo,,,,PASS,[precise locality unknown],,,,752378,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,V0577681F,C.J.P. Seegeler,C. J. P. Seegeler,,2806,23 October 1972,1972-10-23,,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica Sch.Bip.,G J H Amshoff,1982,,Ethiopia,Shewa,,,"c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock.","c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock.","Erect herb, about 90 cm high and 30 cm wide. Stem pale brown, near the top brownish-green. Leaves medium green, beneath paler with pale midrib. Involucre pale green with dark green tops. Florets at opening dark purple, older paler to almost white. Anthers pale brown. Pollen white. Fruits brownish-black with yellowish white pappus.",925m,"c. 8°56' N, 39°55' E",2302805,Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,V0597557F,PASS,PASS,,48,05.08.2003,2003-08-05,,Carduus leptacanthus FRES,Carduus leptacanthus FRES,,,,PASS,Sud-Kivu,Kabare,,Musisi,Musisi,,,,2257689,Mix of Handwritten and Typed,no type status
https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,V0594376F,J.M. Fay,J. M. Fay,,8017,25 May 1987,1987-05-25,,Burkea africana Hook.,Burkea africana Hook.,J M Fay,,,Central African Republic,,,,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,,600 m,08°29'N 21°12'E,1999188.0,Typed,no type status
