Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 1,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,,2852,"Jan. 19 to Feb. 3, 1910",1910-01-19,1910-02-03,Cyperus callistus Ridley,Cyperus maculatus Böck.,J. Raynal,19.10.1971,,Congo Free State,,Lado Enclave,,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp,"" Bahr el Jebel",,,,468360,Typed,no type status
Entry 2,COLL. F. G. OVERLAET,F. G. Overlaet,,s.n.,1923-4,1923-00-00,1924-00-00,Habenaria,Habenaria,BÖRGE PETTERSSON,19...... 84,,Belgian Congo,,,,,[precise locality unknown],,,,752356,Typed,no type status
Entry 3,Leg. R. A. Maas Geesteranus,R. A. Maas Geesteranus,,4924,14-VI 1949,1949-06-14,,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus C.B.Cl.,,,Dombeya mastersii and Olea hochstetteri,Kenya,Nyanza,Londiani,,"Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","Nyanza Province, Londiani Distr., Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri; 2260 m s.m.",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1147852,Mix of Handwritten and Typed,no type status
Entry 4,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-86,1986-03-03,,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Olga Kosovsky,2011,,Gabon,,,,"Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan. 0 41 N x 11 07 E","Primary rain forest, ca 6 km NW of Oveng, chantier Rougier Océan","Epiphytic orchid, growing in big clumps together. Flowers greenish-yellow. Leaves hard, succulent",,0 41 N x 11 07 E,2310219,Typed,no type status
Entry 5,"Carvalho 2102, 26-VII-1986",Carvalho,,2102,26-VII-1986,1986-07-26,,Mariscus alternifolius Vahl,Mariscus alternifolius Vahl,C. Cebolla & Mª A. Rivas Ponce (UAM),1995,,GUINEÆ ÆQUATORIALIS,BIOCO,,Malabo,"«Malabo, finca las Carboneras, 32NMK7415, 8 m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm»","Malabo, finca las Carboneras, 8 meters. Bosque secundario y terrenos incultos. Herbácea, 20-30 centimeters","Bosque secundario y terrenos incultos. Herbácea, 20-30 cm",8 m,32NMK7415,Nº 2201108,Typed,no type status
Entry 6,Fernández Casas,Fernández Casas,,11206,5-II-1989,1989-02-05,,Agrostis manii (Hooker fil.) Stapf,Agrostis manii (Hooker fil.) Stapf,C. Cebolla & Mª A. Rivas Ponce,1993,,GUINEA EQUATORIAL,BIOCO,,,"cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista","cumbre del pico Basilé, 32NMJ7396, 2870 meters, márgenes de la pista",márgenes de la pista,2870 m,32NMJ7396,N° 2200806,Typed,no type status
Entry 7,COLL. F. G. OVERLAET,F. G. Overlaet,,s.n.,1923-4,1923-00-00,1924-00-00,Scirpus,Scirpus mucronatus L.,G. G. Nelsh,1946,,Belgian Congo,,,,,[precise locality unknown],,,,752378,Typed,no type status
Entry 8,C.J.P. Seegeler,C. J. P. Seegeler,,2806,23 October 1972,1972-10-23,,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica Sch.Bip.,G. J. H. Amshoff,1982,,ETHIOPIA,SHEWA,,,"c. 3 km from Metahara, on road to Nazareth. In full sun on lava rock.","c. 3 kilometers from Metahara, on road to Nazareth. In full sun on lava rock.",In full sun on lava rock.,925m,"c. 8°56' N, 39°55' E",2302805,Typed,no type status
Entry 9,,,,48,05.08.2003,2003-08-05,,Cardus leptacanthus FRES,Cardus leptacanthus FRES,,,,,Sud-Kivu,Kabare,,Musisi,Musisi,Herbe,,,2257689,Typed,no type status
Entry 10,J.M. Fay,J. M. Fay,,8017,25 May 1987,1987-05-25,,Burkea africana Hook.,Burkea africana Hook.,J. M. Fay,,,Central African Republic,,,,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,Park Manovo-Gounda-St. Floris. vicinity of Camp Koumbala. prec: 1200 mm,,elev: 600 m,08°29'N 21°12'E,"No 1999188 | NCI# Wood Q67B/0065, Bark Q67B/0066, Root Q67B/0067, Leaves Q67B/0068",Typed,no type status
Entry 11,P.C.M. Jansen,P. C. M. Jansen,,5996,14 April 1976,1976-04-14,,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C. C. H. Jongkind,1987,,ETHIOPIA,HARERGE,,,"around Damata Village, near Alemaya. Between Chat and Sorghum fields. c. 9°24' N, 42°01' E Alt: 2000m","around Damata Village, near Alemaya. Between Chat and Sorghum fields","Herb, c. 1 m high. Stem whitish green. Leaves dark green above, whitish green beneath. Spines yellow. Involucre dark green. Disc flowers only, lilac red",2000m,"c. 9°24' N, 42°01' E",N° 2302849,Typed,no type status
Entry 12,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",Amanda Koch,Wilson Sakuda,AK61,"October 22, 2003",2003-10-22,,Acacia reficiens misera (Vatke) Brenan,Acacia reficiens misera (Vatke) Brenan,Patrick Mutiso,"November 02, 2003",,Kenya,Kajiado,,,Kenya: Kajiado District:Oloishobor,Kajiado District:Oloishobor,Dry bushland,,,2309478,Typed,no type status
Entry 13,Coll. J. Lebrun,J. Lebrun,,2409,Mars 1931,1931-03-00,,Albizia gummifera (Gmel.),Albizzia gummifera (Gmel.),C.A. Smith,,,Congo Belge,Kibali-Ituri,Uélé-Itimbiri,,Congo Belge. Kibali-Ituri (Uélé-Itimbiri),Congo Belge. Kibali-Ituri (Uélé-Itimbiri),,,,867368,Typed,no type status
Entry 14,Verdcourt no 2077,Verdcourt,,2077,25.12.1957,1957-12-25,,Digitaria pennata (Hochst.) Chiov,Digitaria pennata (Hochst.) Chiov,,,,Kenya,,,,"Tsavo - Mtito Andei, Kenya","Tsavo - Mtito Andei, Kenya",,,,1559644,Mix of Handwritten and Typed,no type status
Entry 15,HERBIER H. CALLENS s.j.,H. Callens,,s.n.,Juillet 1958,1958-07-00,,Gaertnera paniculata,Gaertnera paniculata,H. Callens,1/9/58,,Congo Belge,,,Kisantu,Kisantu,Kisantu,foret secondaire,,,1584065|1732587,Typed,no type status
Entry 16,HERBIER G. TROUPIN,G. Troupin,,6333,10/2/1958,1958-02-10,,COMPOSIT. Mikania cordata (BURM.f.) B.L.ROBINS,Mikania cordata (BURM.f.) B.L.ROBINS,,,,Congo,Kivu,Kalehe,,"Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC","Vers km 110,route Kavumu-Walekale; Irangi,réserve IRSAC",Forêt ombrophile. Catena 1.540 m,850 - 900 m,,1543353,Typed,no type status
Entry 17,Gordon McPherson,G. McPherson,,13781,20 Mars 1989,1989-03-20,,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis (R. Good) N. Hallé,Wilks & McPherson,1989,,GABON,OGOOUE-IVINDO,,,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA. 0°25'S; 11°30'E c. 200 m","Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA",Arbre 15 m; fruit brun; voucher de NCI; LF:Q66S-0223-G; BK:Q66S-0224-H; WD:366S-0225-I,c. 200 m,0°25'S; 11°30'E,2040859,Typed,no type status
