accessURI,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,Image
https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,V0573776F,"Dr. EDGAR A. MEARNS, Collector",E. A. Mearns,N/A,2832,"Jan. 10 to Feb. 2, 1910",1910-01-10,1910-02-02,Cyperus callistus Ridley,Cyperus maculatus,J. Raynal,19.10.1971,N/A,Democratic Republic of the Congo,Lado Enclave,Bahr el Jebel,N/A,"""Rhino Camp,"" Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp""",N/A,N/A,N/A,468360,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2437/184/V0576008F.jpg,V0576008F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-01-00,1924-12-00,Habenaria,Habenaria,B. Pettersson,1984,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752356,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2433/678/V0576279F.jpg,V0576279F,Leg. R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,4924,14-VI 1949,1949-06-14,N/A,Pycreus segmentatus C.B.Cl.,Pycreus segmentatus,N/A,N/A,Dombeya mastersii | Olea hochstetteri,Kenya,Nyanza Province,Londiani,N/A,"Tinderet Forest Reserve, Camp I, lat. 0° 5' S., long. 35° 27' E.","Tinderet Forest Reserve, Camp I","glade surrounded by rather open, tall forest, containing a.o. Dombeya mastersii and Olea hochstetteri",2260 m s.m.,"lat. 0° 5' S., long. 35° 27' E.",1447352,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2437/413/V0577013F.jpg,V0577013F,J. M. et B. Reitsma,J. M. Reitsma,B. Reitsma,2013,3-3-86,1986-03-03,N/A,Bulbophyllum scaberulum (Rolfe) Bolus var. scaberulum,Bulbophyllum scaberulum var. scaberulum,O. Kosovsky,2011,N/A,Gabon,Woleu-Ntem,N/A,Oyem,"ca 6 km NW of Oyem, chantier Rougier Océan","approximately 6 kilometers northwest of Oyem, chantier Rougier Océan","Primary rain forest, epiphytic orchid, growing in big clumps together, flower greenish-yellow, leaves hard, succulent",N/A,0 41 N x 11 07 E,2310219,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2434/201/V0577892F.jpg,V0577892F,Carvalho 2102,J. Carvalho,N/A,2102,26-VII-1986,1986-07-26,N/A,Mariscus alternifolius Vahl,Mariscus alternifolius,C. Cebolla | M. A. Rivas Ponce,1995,N/A,Equatorial Guinea,Bioko,N/A,Malabo,"finca las Carboneras, 32NMK7415, 8 m. Bosque secundario y terrenos incultos. Herbácea, 20-30 cm",finca las Carboneras,Bosque secundario y terrenos incultos,8 m,32NMK7415,2201108,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2437/617/V0578553F.jpg,V0578553F,Fernández Casas,F. Casas,N/A,11206,5-II-1989,1989-02-05,N/A,Agrostis manii (Hooker fil.) Stapf,Agrostis manii,C. Cebolla | M. A. Rivas Ponce,1993,N/A,Equatorial Guinea,Bioko,N/A,N/A,"cumbre del pico Basilé, 32NMJ7396, 2870 m, márgenes de la pista","summit of Pico Basilé, 32NMJ7396, margins of the track",N/A,2870 m,32NMJ7396,2200806,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2441/863/V0574052F.jpg,V0574052F,COLL. F. G. OVERLAET,F. G. Overlaet,N/A,s.n.,1923-4,1923-01-01,1924-12-31,Scirpus macrostachyus,Scirpus macrostachyus,A. Reith | A. Reith,1960,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,752378,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2446/122/V0577681F.jpg,V0577681F,C.J.P. Seegeler,C. J. P. Seegeler,N/A,2806,23 October 1972,1972-10-23,N/A,Vernonia abyssinica Sch.Bip.,Vernonia abyssinica,G. J. H. Amshoff,1982,N/A,Ethiopia,Shewa,N/A,Metahara,"c. 3 km from Metahara, on road to Nazareth",approximately 3 kilometers from Metahara on road to Nazareth,In full sun on lava rock,Alt: 925m,"c. 8°56' N, 39°55' E",2302805,Mix of Handwritten and Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2442/190/V0597557F.jpg,V0597557F,N/A,N/A,N/A,48,05.08.2003,2003-08-05,N/A,Carduus leptacanthus FRES,Carduus leptacanthus,N/A,N/A,N/A,Democratic Republic of the Congo,Sud-Kivu,Kabare,Musisi,Musisi,Musisi,N/A,N/A,N/A,2257689,Typed,no type status,
https://fm-digital-assets.fieldmuseum.org/2452/643/V0594376F.jpg,V0594376F,J.M. Fay,J. M. Fay,N/A,8017,25 May 1987,1987-05-25,N/A,Burkea africana Hook.,Burkea africana,J. M. Fay,N/A,N/A,Central African Republic,N/A,N/A,N/A,Park Manovo-Gounda-St. Floris. Vicinity of Camp Koumbala.,"Park Manovo-Gounda-St. Floris, vicinity of Camp Koumbala",N/A,elev: 600 m,08°29'N 21°12'E,No 1999188,Mix of Handwritten and Typed,no type status,
